id,name,description,categories,opening_hour,closing_hour
97,Fat Eats,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Brunch,6:00 AM,11:00 PM
98,Blue Plate Pizza,"Our mission is to be a leader in the distribution and merchandising of food, pharmacy, health and personal care items, seasonal merchandise, and related products and services. We place considerable importance on forging strong supplier partnerships. Our suppliers, large or small, local or global, are essential components in accomplishing our mission.",Vegetarian,8:00 AM,10:00 PM
99,Belly Steakhouse,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Vegetarian,8:00 AM,11:00 PM
100,Fast Coffee,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,French food,8:00 AM,8:00 PM
101,Red Coffee,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",French food,6:00 AM,10:00 PM
102,Hungry Cafe,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",Brunch,8:00 AM,9:00 PM
103,98 Cafe,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,French food,6:00 AM,9:00 PM
104,Thirsty Diner,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Italian food,6:00 AM,10:00 PM
105,Sugar Sushi,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",Fast food,8:00 AM,11:00 PM
106,Green King,"To achieve and maintain such distinction in food and wine, service, atmosphere and setting that the restaurant gains a first class reputation for gastronomy, gracious and informed hospitality, comfort and beauty which draws new and repeat customers year after year. To achieve the above whilst upholding staff policies and practices which promote a fair and positive working environment. To be aware of and act on our responsibilities as a good corporate citizen to  provide a safe, clean and attractive place for guests to enjoy and for employees to work in - ensure ecologically sound management practices at the restaurant and in our surrounding gardens and woods - undertake meaningful involvement of Restaurant Les Fougères in selected charitable activities in our community and region.",Italian food,6:00 AM,10:00 PM
107,Green Steakhouse,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Fine dining,7:00 AM,10:00 PM
108,Red Diner,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",Fast food,7:00 AM,10:00 PM
109,Big Subs,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Fast food,6:00 AM,10:00 PM
110,7737 Sushi,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Italian food,7:00 AM,10:00 PM
111,Blue Grill & Tap,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,French food,7:00 AM,10:00 PM
112,Hungry Grill,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Brunch,8:00 AM,9:00 PM
113,Orange Cafe,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Vegetarian,9:00 AM,10:00 PM
114,Hungry Subs,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Fine dining,9:00 AM,9:00 PM
115,Fat Bakery,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",French food,9:00 AM,11:00 PM
116,496 Juice Bar,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",French food,8:00 AM,11:00 PM
117,Belly Pizza,"SVIs mission is to deliver quality products at affordable prices to our independent retailers, wholesalers and food service partners around the world by providing international procurement, distribution, marketing and supply chain management.",Brunch,10:00 AM,10:00 PM
118,AHP Bakery,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Italian food,6:00 AM,11:00 PM
119,28 Kitchen,"SVIs mission is to deliver quality products at affordable prices to our independent retailers, wholesalers and food service partners around the world by providing international procurement, distribution, marketing and supply chain management.",Italian food,9:00 AM,8:00 PM
120,Fat House,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",French food,8:00 AM,11:00 PM
121,Blue Plate King,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Fine dining,7:00 AM,8:00 PM
122,Blue Brasserie,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Fine dining,6:00 AM,11:00 PM
123,Big Subs,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",French food,6:00 AM,8:00 PM
124,Orange Pub,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",Fast food,10:00 AM,9:00 PM
125,Orange Sushi,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Fast food,10:00 AM,10:00 PM
126,Big Curry,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,French food,8:00 AM,10:00 PM
127,Silver Spoon,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Italian food,7:00 AM,9:00 PM
128,Salty BBQ,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Vegetarian,8:00 AM,9:00 PM
129,Big Grill,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Italian food,7:00 AM,11:00 PM
130,Smokestack Coffee,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",French food,9:00 AM,9:00 PM
131,Blue Plate House,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Fine dining,9:00 AM,9:00 PM
132,Blue Plate Coffee,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Brunch,8:00 AM,11:00 PM
133,BX Diner,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Vegetarian,6:00 AM,9:00 PM
134,Salty House,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Italian food,9:00 AM,9:00 PM
135,Green Cafe,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Italian food,8:00 AM,11:00 PM
136,Smokestack Steakhouse,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",French food,9:00 AM,8:00 PM
137,85 Bakery,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Italian food,9:00 AM,8:00 PM
138,Golden BBQ,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Fine dining,6:00 AM,8:00 PM
139,Salty BBQ,"To achieve and maintain such distinction in food and wine, service, atmosphere and setting that the restaurant gains a first class reputation for gastronomy, gracious and informed hospitality, comfort and beauty which draws new and repeat customers year after year. To achieve the above whilst upholding staff policies and practices which promote a fair and positive working environment. To be aware of and act on our responsibilities as a good corporate citizen to  provide a safe, clean and attractive place for guests to enjoy and for employees to work in - ensure ecologically sound management practices at the restaurant and in our surrounding gardens and woods - undertake meaningful involvement of Restaurant Les Fougères in selected charitable activities in our community and region.",French food,8:00 AM,11:00 PM
140,Silver Grill & Tap,"SVIs mission is to deliver quality products at affordable prices to our independent retailers, wholesalers and food service partners around the world by providing international procurement, distribution, marketing and supply chain management.",Brunch,10:00 AM,9:00 PM
141,Fast King,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Fine dining,10:00 AM,8:00 PM
142,Salty Dragon,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",French food,10:00 AM,10:00 PM
143,Hungry Burger,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Vegetarian,7:00 AM,8:00 PM
144,Big Eatery,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Brunch,9:00 AM,11:00 PM
145,Silver Pizza,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Fast food,6:00 AM,9:00 PM
146,865 Juice Bar,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Fast food,9:00 AM,9:00 PM
147,Golden Bar & Grill,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Brunch,8:00 AM,8:00 PM
148,Orange Brasserie,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",Brunch,7:00 AM,10:00 PM
149,Orange Pub,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Italian food,9:00 AM,8:00 PM
150,Orange House,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Fast food,8:00 AM,10:00 PM
151,63 Coffee,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",Italian food,9:00 AM,9:00 PM
152,EJY Eatery,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",Italian food,8:00 AM,10:00 PM
153,XDF Brasserie,"Our mission is to be a leader in the distribution and merchandising of food, pharmacy, health and personal care items, seasonal merchandise, and related products and services. We place considerable importance on forging strong supplier partnerships. Our suppliers, large or small, local or global, are essential components in accomplishing our mission.",Fast food,9:00 AM,9:00 PM
154,Smokestack Creamery,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",French food,9:00 AM,8:00 PM
155,Sweet BBQ,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Fast food,8:00 AM,8:00 PM
156,294 Bakery,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Italian food,9:00 AM,8:00 PM
157,Golden Grill & Tap,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Italian food,10:00 AM,9:00 PM
158,Green Bakery,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Fast food,8:00 AM,11:00 PM
159,HDD Coffee,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Vegetarian,9:00 AM,11:00 PM
160,Sugar Steakhouse,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",French food,8:00 AM,9:00 PM
161,Sugar Pizza,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",French food,9:00 AM,9:00 PM
162,Silver Shakes,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",French food,10:00 AM,8:00 PM
163,Red Gastropub,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Vegetarian,6:00 AM,8:00 PM
164,Fast Diner,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Fine dining,8:00 AM,11:00 PM
165,Sugar Shakes,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,French food,8:00 AM,9:00 PM
166,Big BBQ,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Fine dining,7:00 AM,9:00 PM
167,Sweet Gastropub,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",Italian food,7:00 AM,10:00 PM
168,8751 Cafe,"To achieve and maintain such distinction in food and wine, service, atmosphere and setting that the restaurant gains a first class reputation for gastronomy, gracious and informed hospitality, comfort and beauty which draws new and repeat customers year after year. To achieve the above whilst upholding staff policies and practices which promote a fair and positive working environment. To be aware of and act on our responsibilities as a good corporate citizen to  provide a safe, clean and attractive place for guests to enjoy and for employees to work in - ensure ecologically sound management practices at the restaurant and in our surrounding gardens and woods - undertake meaningful involvement of Restaurant Les Fougères in selected charitable activities in our community and region.",Vegetarian,6:00 AM,10:00 PM
169,Big Shakes,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Vegetarian,10:00 AM,10:00 PM
170,Belly Pizza,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",French food,8:00 AM,11:00 PM
171,Green Shakes,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Italian food,8:00 AM,8:00 PM
172,Fat Cafe,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Brunch,6:00 AM,8:00 PM
173,Fat Spoon,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Brunch,7:00 AM,10:00 PM
174,Thirsty Gastropub,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Fine dining,8:00 AM,8:00 PM
175,Fat Pizza,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",Fine dining,10:00 AM,11:00 PM
176,Salty Shakes,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Italian food,6:00 AM,11:00 PM
177,Spice Pub,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Brunch,9:00 AM,8:00 PM
178,Fast Shakes,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Fast food,8:00 AM,8:00 PM
179,Sugar Kitchen,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Italian food,8:00 AM,10:00 PM
180,Big Kitchen,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Italian food,10:00 AM,8:00 PM
181,Hungry Brasserie,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Italian food,6:00 AM,11:00 PM
182,Golden BBQ,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",French food,7:00 AM,9:00 PM
183,Silver Kitchen,"To achieve and maintain such distinction in food and wine, service, atmosphere and setting that the restaurant gains a first class reputation for gastronomy, gracious and informed hospitality, comfort and beauty which draws new and repeat customers year after year. To achieve the above whilst upholding staff policies and practices which promote a fair and positive working environment. To be aware of and act on our responsibilities as a good corporate citizen to  provide a safe, clean and attractive place for guests to enjoy and for employees to work in - ensure ecologically sound management practices at the restaurant and in our surrounding gardens and woods - undertake meaningful involvement of Restaurant Les Fougères in selected charitable activities in our community and region.",Vegetarian,7:00 AM,11:00 PM
184,2994 Pub,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Vegetarian,10:00 AM,9:00 PM
185,Green House,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Italian food,10:00 AM,8:00 PM
186,44 Coffee,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Italian food,8:00 AM,9:00 PM
187,CPU Grill & Tap,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Brunch,6:00 AM,10:00 PM
188,520 Pub,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Vegetarian,10:00 AM,9:00 PM
189,Red Kitchen,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Fine dining,9:00 AM,9:00 PM
190,57 Grill & Tap,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",Fine dining,10:00 AM,9:00 PM
191,Sweet Gastropub,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Brunch,6:00 AM,9:00 PM
192,2292 Pub,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",Brunch,10:00 AM,9:00 PM
193,Green Gastropub,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",French food,8:00 AM,11:00 PM
